Type,Model,MSE,R²,MAE,RMSE,Min_Pred,Max_Pred
XGBoost,"XGB (lr=0.1, depth=6, reg=1)",2.4545570364319365,0.018962754573558005,1.1732475456549,1.5667025998676125,3.8001391887664795,5.177702903747559
Random Forest,"RF (n=50, depth=5)",2.6840024974951744,-0.07274199693805783,1.262697725273643,1.6382925555269958,4.460880860462596,5.050426099551694
Linear,ElasticNet (alpha=0.1),2.783321587179375,-0.11243784621589215,1.2953987815028147,1.6683289805009607,4.426701951416656,5.269868265271268
