Amount_HYPE_HyperEVM,price_HYPE_HyperEVM,price_HYPE_HyperCORE,delta_USD,arb_profit,block_number,datetime
36.97952383429789,24.282066971538462,24.45805769230769,0.1759907207692303,5.383075421036772,3681667.2884615385,2025-05-11 15:00:00+00:00
157.74677755971337,24.049655306875,24.164937499999997,0.11528219312500021,3.6583291107416582,3683443.8541666665,2025-05-11 16:00:00+00:00
47.677522932352936,24.293330930588237,24.406294117647057,0.11296318705882222,3.934569958242825,3685756.6470588236,2025-05-11 17:00:00+00:00
44.148220744886835,24.712700011363633,24.866,0.1532999886363643,5.320729733509193,3687397.0,2025-05-11 18:00:00+00:00
381.77702725375,24.8074162475,24.849875,0.04245875249999946,2.5642544460612404,3689187.5,2025-05-11 19:00:00+00:00
185.24654405664006,24.723111965172414,24.807137931034482,0.08402596586206942,3.9384531203283393,3691328.275862069,2025-05-11 20:00:00+00:00
51.91272116043737,24.911139283333334,25.040888888888887,0.12974960555555423,4.66312299805634,3693253.4444444445,2025-05-11 21:00:00+00:00
36.175617876875,25.004101756562502,25.21059375,0.20649199343749855,6.34796566238321,3694159.625,2025-05-11 22:00:00+00:00
86.77159239333334,24.922014320000002,25.040000000000003,0.1179856799999991,4.47571370054829,3696111.8333333335,2025-05-11 23:00:00+00:00
35.39007976050535,24.981686914146344,25.125975609756097,0.14428869560975577,5.097192990011657,3698600.487804878,2025-05-12 00:00:00+00:00
54.041324806086486,24.421711771875003,24.5480625,0.12635072812499842,4.54684083255276,3700982.75,2025-05-12 01:00:00+00:00
62.74034066450975,24.517360120000003,24.644380952380953,0.12702083238095216,4.870682549092242,3702231.8571428573,2025-05-12 02:00:00+00:00
165.11458209717273,24.55850004,24.636181818181818,0.07768177818181948,7.327450233924049,3704210.1818181816,2025-05-12 03:00:00+00:00
252.29597149,24.631466296666666,24.682133333333336,0.050667036666667734,8.654432034988476,3705730.7333333334,2025-05-12 04:00:00+00:00
162.45016738247114,24.646357091052632,24.709684210526316,0.06332711947368402,4.602030271888386,3707698.1052631577,2025-05-12 05:00:00+00:00
155.1625501019681,24.76033396833333,24.84958333333333,0.0892493649999992,6.377053813699541,3709752.5833333335,2025-05-12 06:00:00+00:00
39.288604443516704,25.331224319344265,25.48254918032787,0.15132486098360673,4.89284875507628,3711234.950819672,2025-05-12 07:00:00+00:00
53.1442751263078,25.068717600582527,25.226669902912622,0.15795230233009716,5.3080831867852565,3713642.776699029,2025-05-12 08:00:00+00:00
259.3432925497445,25.301986605714287,25.333380952380953,0.03139434666666738,5.393633885931067,3715163.476190476,2025-05-12 09:00:00+00:00
75.04767571326947,24.940647636842105,25.061421052631577,0.12077341578947232,4.767562049386345,3717252.5263157897,2025-05-12 10:00:00+00:00
73.18547154263658,25.015254300000002,25.1323125,0.11705819999999974,3.6908089683297645,3718598.625,2025-05-12 11:00:00+00:00
86.9589910285,24.830532574,24.91065,0.08011742599999994,4.044680275342943,3721178.3,2025-05-12 12:00:00+00:00
47.784696240198166,25.034026292,25.155244444444445,0.12121815244444395,3.9763595794574202,3722632.9777777777,2025-05-12 13:00:00+00:00
74.72747043907547,25.005884876,25.11997142857143,0.1140865525714277,3.929351361864928,3724422.4857142856,2025-05-12 14:00:00+00:00
141.3509170072296,24.71092681607143,24.772071428571426,0.06114461249999915,4.45383569098702,3726626.1071428573,2025-05-12 15:00:00+00:00
66.07528234115726,24.503714884122807,24.602649122807016,0.09893423868420977,3.8919508872460082,3728316.7719298247,2025-05-12 16:00:00+00:00
77.45241036836389,24.54147479769231,24.605038461538463,0.06356366384615322,4.522463653096803,3729987.153846154,2025-05-12 17:00:00+00:00
120.45620102001047,23.70334061414634,23.790048780487805,0.08670816634146268,4.174704431268137,3732357.56097561,2025-05-12 18:00:00+00:00
100.18148888872173,23.895890339210524,24.072412280701755,0.17652194149122788,5.506194813678406,3733650.1228070175,2025-05-12 19:00:00+00:00
33.71925700485694,24.286271821666666,24.394233333333332,0.10796151166666716,2.6949046248588604,3735684.433333333,2025-05-12 20:00:00+00:00
896.8392034575681,24.61831733,24.62957142857143,0.011254098571429014,3.740217192291033,3737923.1428571427,2025-05-12 21:00:00+00:00
