Type,Model,MSE,R²,MAE,RMSE,Range_Ratio,Pred_Range,Actual_Range,Min_Pred,Max_Pred
XGBoost,"XGB (lr=0.15, depth=6, reg=0.01)",1.7756067387674672,0.06494369657506782,1.073073372439425,1.332518944993829,0.394509959653265,2.7258479595184326,6.9094528259035135,3.2614147663116455,5.987262725830078
Linear,Lasso (alpha=0.01),1.9170338926398134,-0.009533578610078752,1.098666016546876,1.3845699305704329,0.27405427748294414,1.893565104746017,6.9094528259035135,3.4650470334250665,5.358612138171083
Random Forest,"RF (n=120, depth=None, min_4)",1.9845252382356837,-0.045075349627379246,1.1433703350909048,1.4087317836393427,0.1510619123057955,1.0437551583782865,6.9094528259035135,3.893475684057245,4.937230842435532
